FID,地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,ジオメトリ,source_file,total_volume,datetime,hour,dayofweek,is_weekend,hour_sin,hour_cos,station_6110080,station_6110090,station_6110100,station_6110530,congestion_class
t_travospublic_measure_1h.6884261,86,,6110080,2,20250922,0,217,69,0,0,0,0,0,214,74,0,0,0,0,0,3,202509220000,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,574,2025-09-22 00:00:00,0,0,0,0.0,1.0,True,False,False,False,low
t_travospublic_measure_1h.6884262,86,,6110090,2,20250922,0,342,93,0,0,0,0,0,290,69,0,0,0,0,0,3,202509220000,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,794,2025-09-22 00:00:00,0,0,0,0.0,1.0,False,True,False,False,low
t_travospublic_measure_1h.6884263,86,,6110100,2,20250922,0,102,27,0,0,0,0,0,106,29,0,0,0,0,0,3,202509220000,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,264,2025-09-22 00:00:00,0,0,0,0.0,1.0,False,False,True,False,low
t_travospublic_measure_1h.6884303,86,,6110530,2,20250922,0,164,40,0,0,0,0,0,161,49,0,0,0,0,0,3,202509220000,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,414,2025-09-22 00:00:00,0,0,0,0.0,1.0,False,False,False,True,low
t_travospublic_measure_1h.6885374,86,,6110080,2,20250922,100,178,101,0,0,0,0,0,149,97,0,0,0,0,0,3,202509220100,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,525,2025-09-22 01:00:00,1,0,0,0.25881904510252074,0.9659258262890683,True,False,False,False,low
t_travospublic_measure_1h.6885375,86,,6110090,2,20250922,100,229,110,0,0,0,0,0,191,85,0,0,0,0,0,3,202509220100,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,615,2025-09-22 01:00:00,1,0,0,0.25881904510252074,0.9659258262890683,False,True,False,False,low
t_travospublic_measure_1h.6885376,86,,6110100,2,20250922,100,60,43,0,0,0,0,0,71,28,0,0,0,0,0,3,202509220100,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,202,2025-09-22 01:00:00,1,0,0,0.25881904510252074,0.9659258262890683,False,False,True,False,low
t_travospublic_measure_1h.6885416,86,,6110530,2,20250922,100,117,50,0,0,0,0,0,113,59,0,0,0,0,0,3,202509220100,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,339,2025-09-22 01:00:00,1,0,0,0.25881904510252074,0.9659258262890683,False,False,False,True,low
t_travospublic_measure_1h.6886487,86,,6110080,2,20250922,200,103,102,0,0,0,0,0,141,96,0,0,0,0,0,3,202509220200,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,442,2025-09-22 02:00:00,2,0,0,0.49999999999999994,0.8660254037844387,True,False,False,False,low
t_travospublic_measure_1h.6886488,86,,6110090,2,20250922,200,136,124,0,0,0,0,0,142,153,0,0,0,0,0,3,202509220200,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,555,2025-09-22 02:00:00,2,0,0,0.49999999999999994,0.8660254037844387,False,True,False,False,low
t_travospublic_measure_1h.6886489,86,,6110100,2,20250922,200,51,42,0,0,0,0,0,37,40,0,0,0,0,0,3,202509220200,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,170,2025-09-22 02:00:00,2,0,0,0.49999999999999994,0.8660254037844387,False,False,True,False,low
t_travospublic_measure_1h.6886529,86,,6110530,2,20250922,200,93,61,0,0,0,0,0,78,65,0,0,0,0,0,3,202509220200,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,297,2025-09-22 02:00:00,2,0,0,0.49999999999999994,0.8660254037844387,False,False,False,True,low
t_travospublic_measure_1h.6887600,86,,6110080,2,20250922,300,121,171,0,0,0,0,0,152,122,0,0,0,0,0,3,202509220300,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,566,2025-09-22 03:00:00,3,0,0,0.7071067811865475,0.7071067811865476,True,False,False,False,low
t_travospublic_measure_1h.6887601,86,,6110090,2,20250922,300,137,159,0,0,0,0,0,171,141,0,0,0,0,0,3,202509220300,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,608,2025-09-22 03:00:00,3,0,0,0.7071067811865475,0.7071067811865476,False,True,False,False,low
t_travospublic_measure_1h.6887602,86,,6110100,2,20250922,300,61,64,0,0,0,0,0,45,43,0,0,0,0,0,3,202509220300,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,213,2025-09-22 03:00:00,3,0,0,0.7071067811865475,0.7071067811865476,False,False,True,False,low
t_travospublic_measure_1h.6887642,86,,6110530,2,20250922,300,81,70,0,0,0,0,0,94,113,0,0,0,0,0,3,202509220300,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,358,2025-09-22 03:00:00,3,0,0,0.7071067811865475,0.7071067811865476,False,False,False,True,low
t_travospublic_measure_1h.6888713,86,,6110080,2,20250922,400,185,209,0,0,0,0,0,240,198,0,0,0,0,0,3,202509220400,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,832,2025-09-22 04:00:00,4,0,0,0.8660254037844386,0.5000000000000001,True,False,False,False,low
t_travospublic_measure_1h.6888714,86,,6110090,2,20250922,400,197,266,0,0,0,0,0,250,238,0,0,0,0,0,3,202509220400,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,951,2025-09-22 04:00:00,4,0,0,0.8660254037844386,0.5000000000000001,False,True,False,False,low
t_travospublic_measure_1h.6888715,86,,6110100,2,20250922,400,100,99,0,0,0,0,0,60,89,0,0,0,0,0,3,202509220400,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,348,2025-09-22 04:00:00,4,0,0,0.8660254037844386,0.5000000000000001,False,False,True,False,low
t_travospublic_measure_1h.6888755,86,,6110530,2,20250922,400,159,125,0,0,0,0,0,123,150,0,0,0,0,0,3,202509220400,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,557,2025-09-22 04:00:00,4,0,0,0.8660254037844386,0.5000000000000001,False,False,False,True,low
t_travospublic_measure_1h.6889824,86,,6110080,2,20250922,500,420,337,0,0,0,0,0,459,292,0,0,0,0,0,3,202509220500,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,1508,2025-09-22 05:00:00,5,0,0,0.9659258262890683,0.25881904510252074,True,False,False,False,medium
t_travospublic_measure_1h.6889825,86,,6110090,2,20250922,500,529,409,0,0,0,0,0,638,349,0,0,0,0,0,3,202509220500,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,1925,2025-09-22 05:00:00,5,0,0,0.9659258262890683,0.25881904510252074,False,True,False,False,medium
t_travospublic_measure_1h.6889826,86,,6110100,2,20250922,500,257,122,0,0,0,0,0,155,137,0,0,0,0,0,3,202509220500,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,671,2025-09-22 05:00:00,5,0,0,0.9659258262890683,0.25881904510252074,False,False,True,False,low
t_travospublic_measure_1h.6889866,86,,6110530,2,20250922,500,437,178,0,0,0,0,0,276,182,0,0,0,0,0,3,202509220500,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,1073,2025-09-22 05:00:00,5,0,0,0.9659258262890683,0.25881904510252074,False,False,False,True,low
t_travospublic_measure_1h.6890938,86,,6110080,2,20250922,600,1108,417,0,0,0,0,0,1151,375,0,0,0,0,0,3,202509220600,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,3051,2025-09-22 06:00:00,6,0,0,1.0,6.123233995736766e-17,True,False,False,False,high
t_travospublic_measure_1h.6890939,86,,6110090,2,20250922,600,1202,447,0,0,0,0,0,1385,409,0,0,0,0,0,3,202509220600,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,3443,2025-09-22 06:00:00,6,0,0,1.0,6.123233995736766e-17,False,True,False,False,high
t_travospublic_measure_1h.6890940,86,,6110100,2,20250922,600,487,173,0,0,0,0,0,404,137,0,0,0,0,0,3,202509220600,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,1201,2025-09-22 06:00:00,6,0,0,1.0,6.123233995736766e-17,False,False,True,False,medium
t_travospublic_measure_1h.6890980,86,,6110530,2,20250922,600,1035,213,0,0,0,0,0,623,236,0,0,0,0,0,3,202509220600,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,2107,2025-09-22 06:00:00,6,0,0,1.0,6.123233995736766e-17,False,False,False,True,medium
t_travospublic_measure_1h.6892052,86,,6110080,2,20250922,700,1305,397,0,0,0,0,0,1604,443,0,0,0,0,0,3,202509220700,MULTIPOINT ((135.744452476501 34.91099177877929)),t_travospublic_measure_1h_road3_20250922_clean.csv,3749,2025-09-22 07:00:00,7,0,0,0.9659258262890683,-0.25881904510252063,True,False,False,False,high
t_travospublic_measure_1h.6892053,86,,6110090,2,20250922,700,1434,334,0,0,0,0,0,1489,403,0,0,0,0,0,3,202509220700,MULTIPOINT ((135.649480819702 34.805311519271704)),t_travospublic_measure_1h_road3_20250922_clean.csv,3660,2025-09-22 07:00:00,7,0,0,0.9659258262890683,-0.25881904510252063,False,True,False,False,high
t_travospublic_measure_1h.6892054,86,,6110100,2,20250922,700,627,127,0,0,0,0,0,560,108,0,0,0,0,0,3,202509220700,MULTIPOINT ((135.720393061637 34.81945711253497)),t_travospublic_measure_1h_road3_20250922_clean.csv,1422,2025-09-22 07:00:00,7,0,0,0.9659258262890683,-0.25881904510252063,False,False,True,False,medium
t_travospublic_measure_1h.6892094,86,,6110530,2,20250922,700,1112,212,0,0,0,0,0,632,171,0,0,0,0,0,3,202509220700,MULTIPOINT ((135.684016942977 34.8925928963683)),t_travospublic_measure_1h_road3_20250922_clean.csv,2127,2025-09-22 07:00:00,7,0,0,0.9659258262890683,-0.25881904510252063,False,False,False,True,medium
